4,9,1,0,10,-8,-1,5,25
4,2,-1,0,-1,11,0,6,20
3,0,1,0,0,-6,0,5,22
1,-1,0,0,-1,-11,-1,5,17
2,0,1,1,0,-7,0,4,17
3,3,0,0,4,-8,0,7,18
4,2,1,1,1,-7,0,6,26
3,5,0,1,10,-10,-2,5,31
2,1,1,0,1,7,-1,2,15
3,0,1,0,0,-7,-1,5,21
2,-1,0,0,0,-6,-1,3,25
3,4,2,0,10,-9,-1,7,18
5,3,0,0,0,10,1,7,17
2,0,0,0,1,-10,0,7,21
4,1,1,1,0,-6,0,6,25
3,5,1,0,1,0,0,4,23
6,3,1,0,1,2,1,6,33
3,7,2,1,3,-3,0,5,27
2,-1,0,0,0,-2,-2,3,29
4,0,0,0,0,3,0,3,23
2,5,1,0,1,-1,0,4,25
2,2,1,1,1,3,0,3,18
3,0,1,0,0,-6,0,5,23
3,6,1,1,3,-1,0,5,28
0,-2,0,0,0,-14,-4,3,30
1,1,0,0,1,-16,-3,4,32
1,1,0,0,2,-11,-1,5,17
4,2,1,0,1,8,0,3,14
4,4,1,1,1,8,1,4,20
3,3,1,0,1,6,0,2,17
4,5,1,1,1,7,1,5,21
0,-3,-1,0,-1,-3,-3,1,24
2,5,1,0,2,-6,-1,2,16
3,0,0,0,0,2,-1,5,34
2,2,1,0,1,4,-1,2,12
5,4,1,1,5,-3,1,8,30
4,7,1,0,6,-3,1,6,29
2,0,1,0,0,-7,-1,4,16
3,3,0,0,4,-8,0,7,18
2,2,0,1,4,-1,-1,3,27
4,4,1,1,1,8,0,4,20
4,9,3,1,9,0,1,6,29
5,11,5,1,15,0,1,6,26
1,-1,0,0,0,-4,-3,2,28
3,3,1,0,1,6,0,3,19
0,-2,0,0,0,-12,-4,2,28
5,4,0,0,0,5,2,8,23
4,2,-1,0,0,10,0,6,22
3,6,1,0,3,-1,0,5,27
4,3,0,1,1,5,1,6,19
6,6,3,1,15,-1,1,9,31
4,4,1,1,1,4,1,5,19
1,3,1,0,1,0,-1,1,14
5,4,1,1,2,-3,0,7,28
1,-2,0,0,0,-7,-3,3,31
4,4,1,1,1,5,1,4,18
3,-1,0,0,0,-4,-2,5,34
3,3,1,0,1,7,0,2,17
0,-1,1,1,1,3,-3,0,10
-1,-3,0,0,0,-12,-4,2,27
4,9,3,1,9,1,0,6,29
2,2,0,1,3,-15,-2,5,32
4,9,1,0,10,-8,-1,5,24
4,8,2,1,9,2,1,4,22
1,0,1,0,1,3,-2,1,10
4,2,1,1,1,-9,0,6,25
4,4,1,0,9,-8,0,8,21
3,5,1,0,1,-6,0,4,25
4,7,1,0,2,1,0,5,27
5,4,1,1,5,-2,0,8,29
0,-1,1,1,1,3,-3,1,11
4,3,1,1,1,8,0,4,19
4,4,0,0,7,-8,0,9,21
5,5,1,0,1,9,2,5,21
2,3,0,0,1,-5,-1,2,16
3,1,1,0,0,-9,-1,6,24
3,2,1,0,1,4,-1,3,18
5,2,1,0,0,-3,0,6,35
5,4,1,1,4,-3,0,8,29
2,2,1,1,1,4,0,3,19
3,1,1,0,1,7,-1,3,15
2,5,1,0,1,2,0,2,17
3,5,1,0,2,-1,0,3,22
4,3,0,0,0,5,1,7,21
2,1,1,0,1,7,-1,2,15
9,9,1,1,13,3,4,12,24
4,3,1,0,1,4,1,4,17
2,2,0,1,4,-14,-2,5,31
5,5,1,1,1,3,2,5,19
4,2,1,1,1,-8,0,7,26
3,6,1,0,2,1,0,4,23
5,10,4,1,14,0,1,6,27
0,-3,0,0,0,-9,-4,3,32
2,0,1,0,1,8,-1,0,8
2,2,0,1,4,-12,-2,4,31
4,3,1,1,1,8,0,3,18
7,8,6,2,18,1,2,10,31
8,7,1,1,6,2,4,11,24
3,1,-1,0,-1,12,0,5,19
0,-2,0,0,0,-8,-3,3,29
3,1,1,0,1,5,-1,2,14
4,4,0,0,0,5,1,8,24
3,6,1,0,2,1,0,3,22
3,3,0,0,0,5,1,6,19
2,4,1,0,1,-3,0,4,26
4,10,5,1,14,3,1,6,27
2,4,1,0,1,-4,-1,0,11
3,3,0,0,0,5,1,6,19
6,3,0,0,0,9,2,8,19
4,3,0,0,0,4,1,7,19
8,8,1,1,8,2,3,11,23
0,-3,0,0,-1,-3,-3,1,20
4,2,1,1,1,-7,0,7,26
2,2,0,0,1,-8,-2,4,31
0,-2,0,0,0,-10,-4,3,31
0,-2,0,0,0,-9,-3,3,30
3,8,1,1,7,-1,0,5,25
2,4,1,0,1,-6,0,5,26
7,8,5,2,18,1,2,10,31
9,8,0,0,4,10,5,12,24
5,5,1,0,1,11,2,5,21
2,1,1,0,1,4,-1,1,8
5,4,0,0,0,5,2,8,23
5,4,0,0,0,5,2,8,24
3,1,0,0,0,5,0,4,25
4,2,1,0,1,9,0,3,16
2,4,1,0,1,-3,0,3,21
6,4,1,0,1,2,1,6,35
2,1,0,0,0,-9,-2,4,31
4,3,0,0,0,4,1,7,21
4,5,1,1,1,8,1,4,21
0,-3,0,0,0,-6,-3,2,28
4,9,2,1,10,-2,0,6,28
5,10,3,1,9,7,2,6,28
5,11,5,1,15,3,1,6,28
4,4,1,1,1,8,1,4,21
4,1,0,0,0,5,0,4,25
9,9,1,1,11,2,4,12,25
3,1,1,0,0,-8,-1,5,23
5,5,2,1,6,-3,1,9,31
3,0,1,0,0,-6,0,5,22
3,1,1,0,1,6,-1,2,14
8,8,1,1,9,3,3,11,23
4,4,1,1,1,6,1,4,21
1,-1,0,0,0,-13,-3,4,33
4,4,1,0,8,-8,0,9,21
4,3,1,1,1,8,0,4,18
2,0,1,0,1,5,-2,1,12
4,4,1,1,1,8,0,4,21
9,9,1,1,12,3,4,12,24
2,0,1,0,0,-7,-1,4,21
4,9,3,1,8,1,0,6,28
5,4,1,0,1,10,1,4,18
4,4,0,0,0,5,1,7,21
0,-2,0,0,-4,-11,-1,5,20
1,0,0,0,1,-12,-4,4,33
3,7,1,0,2,-4,0,5,26
3,2,-1,0,0,5,1,6,19
4,2,1,1,1,-7,0,7,27
4,0,0,0,0,-2,-1,5,35
4,4,1,1,1,8,0,4,19
4,2,1,1,1,-8,0,5,22
2,1,1,0,1,6,-1,2,13
4,0,0,0,0,-4,-1,5,35
5,5,1,0,1,10,1,4,19
4,9,2,1,6,0,0,5,27
5,4,0,0,0,5,1,8,23
2,1,1,0,1,5,-1,1,12
9,8,0,0,5,10,4,12,24
3,2,0,0,0,4,0,6,18
2,2,1,1,1,4,0,3,19
8,9,6,2,19,1,2,11,33
2,4,1,0,1,-5,0,4,24
3,2,1,0,1,7,-1,3,16
4,4,0,1,1,4,1,7,21
5,5,1,1,1,3,2,5,19
6,3,0,0,0,9,2,8,19
4,1,-1,0,-1,11,0,6,20
3,5,1,0,1,3,0,2,17
7,6,1,0,2,0,1,8,36
9,9,1,1,11,2,4,12,25
5,5,0,1,1,4,2,9,25
3,5,1,0,1,-4,-1,3,22
4,4,1,1,1,8,0,4,19
4,7,1,0,5,-8,0,7,31
4,3,-1,0,2,3,0,7,22
6,5,1,0,1,0,1,8,35
5,5,2,1,13,-1,0,8,30
4,2,1,1,1,-8,0,7,26
2,0,1,0,0,-7,-1,4,18
3,8,2,1,10,-1,0,5,24
1,0,0,0,0,-13,-3,3,29
4,10,4,1,14,3,1,5,26
2,5,1,0,1,-2,0,4,26
0,-2,0,0,0,-9,-4,3,32
5,10,5,1,15,3,1,6,28
4,2,1,1,1,-2,0,6,24
3,1,1,0,1,10,-1,1,11
5,2,1,0,1,3,1,3,23
2,2,1,1,1,4,0,3,19
5,2,1,0,1,3,0,5,30
4,3,0,0,1,4,1,7,21
0,-3,0,0,0,-6,-3,2,28
5,4,2,1,10,-6,1,9,32
3,6,1,1,3,-1,0,5,27
3,7,1,1,4,-3,0,6,29
4,4,1,1,1,4,1,5,19
4,3,0,0,1,4,1,7,21
4,1,1,1,0,-9,0,6,25
0,-1,0,0,-2,-10,-1,5,19
0,-1,1,1,1,3,-3,0,10
5,1,1,0,0,1,1,5,31
6,4,1,0,1,2,1,7,36
4,6,1,1,12,-7,-1,5,30
3,3,0,0,5,-9,0,7,18
3,1,-1,0,-1,11,0,5,19
2,5,1,0,1,2,0,2,17
4,5,1,0,8,-7,1,9,22
3,2,-1,0,0,5,0,5,17
5,1,1,0,0,2,0,4,28
1,-1,0,0,-3,-10,-1,5,19
5,3,1,0,1,3,1,4,25
2,4,1,0,1,0,0,3,20
4,4,1,1,1,7,1,5,21
5,5,1,0,1,10,1,4,19
8,7,0,0,3,9,4,11,23
3,0,1,0,0,-7,-1,5,24
6,4,1,0,1,2,1,7,35
4,1,1,1,0,-6,0,6,26
4,9,2,1,10,-2,0,6,28
3,6,1,0,2,-4,-1,4,25
4,4,1,1,1,7,0,4,20
1,1,0,0,3,-10,0,7,21
6,3,0,0,0,10,1,7,18
2,0,1,0,0,-7,-1,3,19
8,8,1,1,9,4,3,11,22
3,0,1,0,0,-7,0,5,24
7,5,0,0,1,9,3,10,21
1,0,0,0,2,-11,-3,4,31
9,8,0,0,4,10,4,11,24
8,7,1,1,6,2,3,11,23
5,4,1,1,3,-2,0,8,28
4,9,4,1,14,3,1,4,21
3,3,1,0,1,4,0,4,18
7,8,6,1,19,2,2,10,31
2,1,0,0,1,-8,-2,4,31
1,-1,1,1,1,3,-2,1,12
5,3,1,0,0,-3,0,6,35
3,5,1,0,1,2,0,5,27
4,2,1,1,1,-9,0,7,27
6,4,1,0,1,2,1,6,34
4,4,0,0,1,3,1,8,24
4,2,-1,0,0,10,0,6,22
3,4,2,0,11,-9,-1,7,18
5,4,1,1,4,-3,0,8,29
3,6,1,0,2,-3,0,5,27
3,3,0,0,4,-8,0,7,18
5,5,0,1,1,5,2,9,24
0,-2,0,0,0,-11,-4,3,32
4,3,1,0,1,8,0,3,18
4,9,2,0,10,-2,0,4,24
2,1,1,0,1,4,-1,2,15
2,1,1,1,1,2,0,3,15
3,2,0,1,4,-1,-1,3,27
4,10,4,1,14,3,1,5,27
3,2,1,0,1,6,0,3,19
1,0,0,0,0,-10,-1,6,18
8,10,11,3,24,1,3,12,34
5,5,1,0,1,10,1,4,20
1,-1,0,0,0,-6,-1,2,22
5,2,1,0,1,2,1,5,32
3,2,-1,0,0,5,0,5,17
4,1,-1,0,-1,11,0,5,19
1,0,0,0,1,-12,-3,4,32
3,-1,0,0,0,-3,-1,5,35
3,0,1,0,0,-6,0,5,22
4,3,0,1,1,4,1,7,21
2,-1,0,0,0,-4,-2,3,32
3,6,1,0,2,-1,0,4,23
3,0,1,0,0,-9,-1,5,24
2,2,1,0,1,4,-1,3,16
8,8,1,1,10,2,3,11,24
7,8,5,2,18,1,2,10,30
4,3,1,1,1,8,0,4,18
4,0,0,0,0,-3,-1,5,36
2,1,1,0,1,5,-2,2,13
3,5,1,1,13,-7,-2,6,33
7,6,0,0,1,9,3,10,24
5,4,0,0,1,4,1,8,24
2,2,1,0,8,-13,0,8,23
2,5,1,0,1,-4,-1,5,27
2,1,1,1,1,2,0,3,17
3,-1,0,0,0,-4,-2,4,35
4,4,1,1,1,7,0,4,19
2,4,1,0,1,-7,0,4,25
5,4,0,0,1,4,1,8,24
4,10,3,1,12,3,1,5,21
4,0,1,0,0,-6,-1,4,34
4,2,1,0,1,8,0,3,15
4,1,1,0,0,3,0,3,25
5,5,0,1,1,4,1,8,23
3,4,2,0,11,-9,-1,7,17
2,1,1,0,1,7,-2,1,12
3,6,1,0,1,1,0,4,22
2,0,1,0,0,-6,-1,4,19
4,9,3,1,13,2,0,5,25
4,8,2,1,10,-1,1,7,30
3,5,1,0,1,0,0,3,20
2,2,1,1,1,4,0,3,19
5,5,1,1,4,-3,1,8,30
5,2,1,0,1,-4,0,6,36
5,5,1,1,5,-2,1,9,31
4,5,1,0,1,11,2,4,19
4,10,3,1,8,1,0,6,29
2,0,1,0,0,5,-2,1,11
3,6,1,0,2,0,0,5,27
5,5,0,0,1,5,2,9,24
3,5,1,0,2,-1,0,4,23
1,2,0,0,1,-5,-1,0,13
2,0,1,0,0,-8,0,4,18
2,3,0,1,6,-17,-3,5,32
8,7,1,1,6,2,4,11,23
3,6,1,0,5,-2,0,6,30
3,6,1,0,2,-3,0,4,25
3,7,1,0,2,1,0,4,23
2,2,1,1,1,4,0,3,20
2,3,1,0,1,-2,-1,2,22
6,3,0,0,0,10,1,7,18
2,1,1,1,1,2,0,3,15
4,9,2,1,11,1,0,5,28
4,4,1,1,1,8,1,4,20
3,6,1,0,3,-5,0,5,25
1,-1,0,0,-3,-10,-1,6,20
1,2,0,1,5,-16,-3,4,32
2,2,1,1,1,4,0,3,19
2,0,1,0,0,-7,-1,5,22
2,-1,0,0,0,-5,-2,4,34
1,0,0,0,0,-10,-1,7,23
3,7,1,1,2,-2,0,5,28
1,-1,0,0,0,-8,-3,3,31
2,4,1,0,1,-6,-1,3,23
4,8,2,1,8,-1,0,6,27
1,3,1,0,1,0,-1,1,14
0,-3,0,0,0,-7,-3,2,28
1,-1,0,0,-2,-11,-1,7,22
4,2,-1,0,0,9,0,6,21
5,3,1,0,1,8,1,4,25
3,4,1,1,1,5,1,4,20
5,5,1,0,1,11,2,5,21
2,1,1,0,0,10,-1,1,10
2,5,1,0,1,-7,0,4,26
4,1,0,0,0,4,0,4,27
3,6,1,1,3,-1,0,5,28
2,1,1,0,1,3,-1,2,13
4,2,1,1,1,-2,0,6,26
2,0,0,0,0,-5,0,3,24
1,1,1,1,1,5,-1,2,16
4,4,1,1,1,4,1,5,19
3,8,1,1,6,2,0,3,19
2,4,1,0,1,-1,-1,4,24
2,1,0,0,4,-11,0,6,19
2,5,1,0,2,-6,-1,3,20
0,-2,1,1,1,3,-3,0,10
4,4,1,0,8,-7,1,9,22
3,1,1,0,0,-8,-1,4,19
7,7,3,2,15,-1,1,10,31
7,9,8,3,21,2,3,10,32
9,9,1,1,11,2,4,12,25
3,9,2,1,10,0,0,6,30
2,0,1,0,0,-7,-1,4,19
4,1,1,1,0,-6,0,6,24
3,3,0,0,5,-7,0,7,18
0,-3,0,0,0,-10,-4,2,30
2,-1,0,0,0,2,-2,2,20
3,2,0,0,0,4,1,6,18
2,5,1,0,1,-7,0,4,26
5,5,0,1,1,4,2,8,24
4,3,0,1,1,4,1,7,21
0,-1,1,1,1,2,-3,0,12
4,8,2,1,7,2,0,4,22
1,0,0,0,2,-12,-3,4,32
0,0,1,0,0,-6,-1,1,11
4,3,0,1,1,5,1,7,20
2,4,1,0,1,-2,0,2,19
8,8,1,1,11,3,4,11,23
9,11,12,4,24,2,3,12,34
3,6,1,0,2,1,0,3,23
4,9,2,0,12,-8,-1,5,25
8,8,1,1,11,3,3,12,24
4,9,2,1,6,0,0,5,27
4,10,3,1,13,3,1,5,25
3,6,1,0,2,-2,0,5,28
3,8,1,1,4,0,0,5,27
4,9,2,1,11,3,1,5,24
4,4,1,1,1,7,0,4,21
4,2,1,1,1,-7,0,6,26
5,4,0,1,1,4,1,8,23
1,0,0,0,1,-11,-3,4,32
5,5,1,1,5,-2,1,9,31
4,3,0,1,1,5,1,7,19
3,-1,0,0,0,-4,-2,5,35
4,1,1,1,0,0,0,5,23
0,-3,-1,0,-1,-3,-3,1,24
2,1,1,0,1,7,-1,2,15
5,4,1,1,2,-2,1,9,30
3,-1,0,0,0,-4,-2,5,36
3,3,0,0,0,5,1,6,19
2,0,1,0,0,-6,-1,4,19
4,9,1,0,10,-8,-1,5,25
6,7,3,2,13,-1,1,10,31
4,2,-1,0,0,9,0,6,21
9,11,11,3,23,2,3,12,33
1,0,0,0,2,-12,-3,4,32
3,6,1,0,2,-1,0,5,25
0,1,0,0,1,-5,-1,0,11
2,5,1,0,2,-6,-1,3,20
2,3,1,0,1,-5,-1,1,16
3,8,2,1,10,0,0,6,29
4,8,2,1,9,2,1,4,22
4,4,0,0,1,4,1,8,23
3,2,1,1,2,-4,-1,4,23
4,8,2,1,7,1,1,6,29
1,3,1,0,1,0,-1,0,12
4,8,2,1,9,-1,0,6,29
4,8,2,1,9,2,0,3,20
5,5,1,0,1,10,2,5,22
4,8,1,0,7,-7,0,6,27
0,-1,0,0,0,-12,-4,3,31
2,4,1,0,1,-5,0,4,26
4,3,1,0,1,8,1,3,17
4,3,0,0,5,-9,0,8,19
0,-2,0,0,-3,-11,-2,4,18
1,-1,0,0,0,-4,-3,3,32
4,1,1,1,0,-5,0,6,26
1,0,0,0,1,-12,-4,4,33
3,3,0,0,0,5,1,6,19
4,4,1,1,1,8,0,4,19
2,1,1,0,1,4,-1,1,8
3,3,0,0,4,-8,0,7,18
3,-1,0,0,0,-3,-2,4,34
2,4,1,0,1,-5,0,4,26
1,-1,1,1,1,3,-2,1,13
2,1,0,0,3,-10,-3,5,32
3,3,1,0,1,4,1,4,18
1,-1,0,0,0,-4,-3,2,28
4,4,0,1,8,-2,-1,5,30
4,3,1,0,1,6,-1,3,18
0,-3,-1,0,-1,-3,-3,1,24
1,0,0,0,1,-12,-3,4,32
4,0,0,0,0,3,0,4,25
4,9,1,0,10,-8,-1,5,25
3,7,1,1,3,1,0,4,25
6,5,1,0,1,1,1,7,37
3,4,1,0,1,0,0,5,26
3,0,1,1,0,-7,0,5,24
3,5,1,0,2,-3,0,5,27
4,4,1,0,9,-8,0,8,20
2,1,0,0,0,-9,-2,4,31
4,3,1,1,1,8,0,4,19
3,-1,0,0,0,1,-2,4,32
5,5,1,1,4,-3,0,8,30
3,0,1,0,0,-7,0,6,25
3,2,0,0,0,4,0,6,17
9,9,1,1,12,2,4,12,25
4,2,-1,0,1,4,0,6,21
2,4,1,0,1,-6,-1,3,23
5,5,1,0,1,11,2,4,21
2,1,0,0,4,-9,0,8,23
9,9,1,1,11,3,4,12,23
3,7,1,1,4,0,0,6,26
4,4,0,0,1,5,1,7,21
1,1,0,1,3,-16,-3,4,31
3,2,0,0,0,4,0,6,18
2,-1,0,0,0,-4,-2,3,33
5,4,1,0,1,10,1,4,19
3,6,1,0,2,2,0,3,21
5,4,1,0,1,9,1,4,19
4,9,2,1,8,2,1,6,29
4,9,2,1,10,-2,0,6,27
6,4,1,0,1,2,1,7,35
5,4,1,1,4,-2,0,8,29
1,1,0,1,3,-11,-3,5,32
4,4,1,1,1,8,0,4,20
3,7,1,1,4,0,0,6,28
7,6,1,0,2,1,1,8,36
9,9,1,1,13,2,4,12,25
2,-1,0,0,0,-2,-2,3,29
3,3,1,0,1,4,0,3,18
3,0,1,0,0,-7,0,6,25
0,1,0,0,1,-5,-1,0,11
2,2,1,1,1,4,0,3,19
7,6,0,0,2,9,3,10,24
3,6,1,1,3,-1,0,5,28
2,-1,1,0,0,5,-2,0,8
5,5,2,1,10,-7,1,9,23
5,4,1,0,1,3,2,5,19
3,3,1,0,1,4,0,3,18
2,4,1,0,1,-2,-1,2,18
9,10,2,2,16,1,4,12,25
3,3,0,0,3,-8,0,7,17
2,4,1,0,1,-2,-1,1,15
0,-2,0,0,0,-10,-4,3,32
5,5,0,0,1,5,1,9,24
7,9,8,3,20,2,2,10,31
4,8,2,1,7,2,0,4,21
0,0,1,0,0,-6,-1,1,11
5,2,1,0,1,2,1,6,33
9,9,1,1,11,2,4,12,25
4,3,0,0,0,4,1,6,19
4,3,1,0,1,10,1,3,17
3,1,1,1,1,0,-1,4,19
4,4,2,0,10,-8,0,7,17
4,9,5,1,15,2,0,4,26
3,5,1,0,2,-1,0,4,23
3,7,1,1,3,1,0,3,22
4,9,1,0,11,-8,-1,5,25
6,3,0,0,0,9,2,8,19
0,-2,0,0,0,-10,-4,2,30
4,3,0,0,0,4,1,7,19
3,2,1,0,1,6,-1,2,15
4,3,1,1,1,6,0,4,18
5,4,1,0,1,9,1,5,20
2,4,1,0,1,-6,-1,1,15
5,11,5,1,15,3,1,6,28
0,-1,1,1,1,2,-3,1,13
2,0,1,0,0,-7,-1,4,20
2,4,1,0,1,-3,0,2,18
3,1,1,1,0,-7,0,4,18
4,3,1,1,3,-2,-2,6,25
8,7,1,1,7,2,3,11,23
4,2,1,1,1,-8,0,5,22
3,3,0,0,4,-8,0,7,18
4,4,1,0,8,-7,1,9,22
2,0,0,0,1,-12,0,8,23
5,4,0,0,0,5,1,8,23
4,2,1,1,0,-6,0,6,25
0,0,1,0,0,-6,-2,1,11
4,2,1,1,1,-2,-1,6,24
0,-2,0,0,-3,-11,-1,4,16
2,3,1,1,1,5,0,4,20
1,1,1,1,1,5,-1,2,19
4,2,1,1,1,-7,0,6,24
2,1,1,0,1,6,-1,2,13
0,-2,0,0,0,-12,-4,2,28
2,4,1,0,2,0,0,4,23
2,1,1,0,1,8,-1,1,11
4,2,1,0,1,8,0,3,15
1,1,0,0,1,-16,-3,4,32
6,3,1,0,1,2,1,6,33
4,5,1,1,1,8,1,4,21
0,-2,1,1,1,3,-3,0,10
2,6,1,0,2,1,-1,2,21
4,4,1,0,8,-8,0,9,21
2,4,1,0,1,-3,-1,3,22
3,7,1,1,5,-1,0,4,22
8,10,11,3,23,2,2,11,33
9,8,0,0,4,10,5,11,24
3,4,1,1,1,5,1,4,20
5,4,1,1,5,-2,0,8,29
7,5,0,0,0,10,2,9,20
0,-3,-1,0,-1,-4,-3,1,25
1,0,0,0,1,-12,-3,4,32
5,4,0,0,0,5,1,8,24
3,2,-1,0,0,5,0,5,16
3,2,1,0,1,6,-1,2,13
8,8,0,0,4,9,4,11,24
3,6,1,0,2,0,0,3,21
3,4,2,0,10,-9,-1,7,17
2,-1,0,0,0,-1,-2,3,28
4,4,1,0,8,-8,0,8,21
7,9,6,2,18,1,2,10,30
4,2,-1,0,0,9,0,6,22
3,1,1,0,1,10,-1,1,9
4,2,-1,0,0,11,0,6,21
3,2,1,0,1,6,-1,2,15
4,4,0,1,1,4,1,8,24
4,4,0,0,2,1,1,7,23
5,2,1,0,1,2,1,6,33
4,4,0,0,1,3,1,8,23
2,-1,0,0,0,-4,-2,4,34
5,1,1,0,1,3,0,5,30
7,6,0,0,2,9,3,10,23
3,1,1,1,0,0,-1,3,16
3,4,0,1,6,-11,-2,5,31
0,-3,0,0,-1,-3,-3,1,20
2,1,1,0,1,6,-1,1,13
3,-1,0,0,0,-3,-2,4,34
5,4,1,0,1,10,1,4,19
3,7,1,1,2,1,0,4,23
3,1,1,1,1,-9,0,7,28
8,8,1,1,8,2,4,11,23
4,4,1,1,1,8,1,4,21
5,4,1,0,1,11,1,4,19
4,2,-1,0,0,11,0,6,21
1,-1,0,0,-1,-11,-1,5,18
3,3,1,1,2,-1,-2,4,19
6,4,1,0,1,0,1,7,36
4,1,1,1,0,-6,0,7,27
3,1,1,1,0,-8,-1,5,24
4,9,2,1,8,1,1,6,29
2,0,0,0,0,-6,-1,4,31
-1,-3,0,0,0,-11,-4,2,30
6,4,1,0,1,1,1,7,36
7,8,4,2,16,0,2,10,32
2,6,1,0,2,-7,-1,2,18
4,4,0,1,1,4,1,7,21
4,8,2,1,7,1,0,6,29
1,-1,0,0,-3,-11,-1,6,21
3,3,1,0,1,5,0,4,19
4,8,2,1,7,2,0,3,21
4,2,1,1,1,-3,0,6,25
5,4,0,1,1,4,1,8,24
2,5,1,0,1,-5,0,5,27
3,6,1,0,2,-4,0,6,29
5,11,5,1,12,0,1,8,31
2,4,1,0,1,-2,-1,1,15
5,5,1,0,9,-7,1,9,23
6,5,1,0,2,0,1,8,35
5,4,0,0,0,5,1,8,24
4,9,1,0,10,-8,-1,5,24
4,3,1,0,1,6,0,4,18
5,2,1,0,1,2,1,6,33
5,5,1,1,5,-3,1,9,31
4,9,1,0,10,-8,-1,5,24
3,6,1,1,3,0,0,2,18
2,2,1,1,1,3,0,3,18
4,4,1,1,1,4,1,5,19
4,8,2,1,8,-1,0,5,26
2,0,1,0,0,-6,-1,4,19
3,7,1,1,7,2,0,3,18
2,3,0,0,1,-4,-1,2,19
2,2,0,0,7,-11,0,8,24
3,2,1,0,1,7,0,3,17
2,5,1,0,2,1,-1,2,19
3,0,1,0,0,-7,0,5,24
3,1,1,0,1,6,-1,2,15
4,8,2,1,9,-1,1,6,29
3,6,1,0,2,0,0,4,25
6,4,1,0,1,-3,1,7,35
7,8,4,2,16,0,2,10,32
2,1,1,0,1,9,-1,0,9
5,5,0,0,1,4,1,8,24
4,9,2,1,9,0,0,5,25
2,6,1,0,3,-6,-1,3,19
3,5,1,0,2,-7,0,4,24
4,1,1,1,0,-6,0,6,24
3,5,1,0,2,-2,0,5,27
9,8,0,0,4,9,4,12,24
2,3,1,1,1,5,0,3,20
4,9,2,1,5,1,0,5,26
4,4,0,0,1,1,1,7,22
3,7,1,0,2,-3,0,5,27
4,4,1,0,10,-9,0,8,20
4,5,1,1,11,-3,-1,6,32
4,4,0,0,1,4,1,8,24
2,3,1,0,1,-4,-1,2,19
0,-3,0,0,-1,-5,-3,2,27
4,4,0,0,1,4,1,7,21
4,4,1,0,8,-8,0,9,21
4,3,1,0,1,7,0,4,19
2,0,1,0,0,10,-2,1,9
4,3,1,0,1,3,1,4,17
0,-2,1,1,1,2,-3,0,11
9,8,0,0,4,10,4,11,24
4,3,1,0,1,4,1,4,17
2,4,1,0,2,-3,0,5,27
4,2,-1,0,0,10,0,7,23
4,2,1,1,2,-11,0,8,30
1,0,1,0,0,-7,-1,2,15
3,3,0,0,4,-8,0,7,18
3,1,-1,0,0,7,0,5,20
1,0,0,0,1,-12,-4,4,33
3,1,1,0,1,6,-1,2,14
0,-3,0,0,-1,-4,-3,2,27
2,0,1,0,1,8,-1,1,8
5,5,1,0,1,10,1,4,19
3,1,0,0,0,5,0,4,25
4,9,2,1,11,-2,0,6,27
